Name,Position,Appearances,Clean sheets,Goals Conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big Chances Created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed,Saves,Penalties Saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks
Max Aarons,Defender,20,1,34,29,66%,0,1,8,21,3,0,75,74,57,14,5,11,0,0,1,451,22.6,1,13,23%,2,20,1,0,12,2,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Tosin Adarabioyo,Defender,20,6,25,21,52%,0,2,25,80,47,0,43,83,51,1,57,28,0,0,0,1211,60.6,0,1,0%,1,72,2,0,10,0,2,2,0,0,1,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Elijah Adebayo,Forward,27,0,0,4,0%,0,7,6,25,24,0,0,0,0,0,0,0,0,0,0,197,7.3,0,5,0%,0,0,1,0,27,13,10,4,5,1,2,0.4,0,0,31,14,45%,4,0,0,0,0,0,0,0,0
Simon Adingra,Forward,31,0,0,45,0%,0,7,19,22,9,0,0,0,0,0,0,0,0,0,1,747,24.1,6,76,0%,0,0,3,0,29,17,6,1,5,0,1,0.2,0,0,52,22,42%,4,0,0,0,0,0,0,0,0
Nayef Aguerd,Defender,21,2,44,26,54%,0,3,17,80,39,1,102,83,52,3,48,33,0,0,0,1164,55.4,0,5,0%,1,104,1,1,10,0,1,1,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Naouirou Ahamada,Midfielder,20,0,0,13,69%,0,4,2,4,1,0,30,29,37,7,4,3,0,0,0,179,9,0,6,0%,0,8,2,1,9,1,0,0,0,0,0,0,0,0,9,2,22%,0,0,0,0,0,0,0,0,0
Anel Ahmedhodzic,Defender,31,1,89,64,56%,2,4,34,134,42,0,106,139,108,11,51,36,0,1,0,955,30.8,1,6,17%,1,47,9,1,34,2,2,1,1,0,1,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Ola Aina,Defender,22,0,39,47,66%,0,5,18,41,22,0,97,115,66,27,17,12,0,0,1,633,28.8,0,28,25%,2,20,3,0,18,2,1,0,1,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Rayan Aït-Nouri,Defender,33,0,43,71,62%,0,5,15,31,15,1,136,207,166,62,21,25,0,0,1,1038,31.5,3,41,20%,2,23,7,0,25,8,2,1,1,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Kristoffer Ajer,Defender,28,2,33,38,55%,0,3,25,78,36,0,60,121,69,10,65,23,0,1,1,722,25.8,5,22,23%,1,31,5,0,25,1,2,1,1,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Manuel Akanji,Defender,30,11,23,42,67%,1,4,23,61,33,0,142,90,72,2,28,30,0,0,0,2296,76.5,0,9,22%,4,81,2,1,17,0,2,1,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Nathan Aké,Defender,29,5,20,26,62%,0,8,14,52,29,0,119,95,49,5,47,28,0,0,2,1770,61,3,11,9%,1,19,0,0,10,0,2,2,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Ameen Al Dakhil,Defender,13,0,26,12,42%,0,3,12,34,25,0,50,33,46,3,14,23,1,1,0,598,46,0,3,33%,2,20,1,0,6,0,1,0,0,1,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Trent Alexander-Arnold,Defender,28,4,28,39,67%,3,14,31,42,15,0,176,84,102,28,8,6,0,2,4,1685,60.2,17,168,33%,22,147,6,0,9,2,3,0,3,0,3,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Alisson Becker,Goalkeeper,28,8,30,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,997,35.6,0,0,0%,0,83,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,0,83,0,10,11,4,11,140,116
