Name,Club,Position,Nationality,Age,Goals,Shots on target,Clean sheets,Tackles,Blocked shots,Interceptions,Clearances,Duels won,Aerial battles won,Assists,Passes,Big chances created,Through balls,Accurate long balls,Saves
Bernd Leno,Arsenal,Goalkeeper,Germany,28.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1783.0,0.0,0.0,234.0,222.0
Matt Macey,Arsenal,Goalkeeper,England,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rúnar Alex Rúnarsson,Arsenal,Goalkeeper,Iceland,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Héctor Bellerín,Arsenal,Defender,Spain,25.0,7.0,0.0,53.0,214.0,32.0,208.0,304.0,611.0,161.0,18.0,7125.0,28.0,31.0,144.0,0.0
Kieran Tierney,Arsenal,Defender,Scotland,23.0,1.0,0.0,2.0,21.0,1.0,12.0,32.0,55.0,10.0,1.0,519.0,1.0,0.0,22.0,0.0
William Saliba,Arsenal,Defender,France,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sokratis,Arsenal,Defender,Greece,32.0,3.0,0.0,9.0,67.0,4.0,43.0,175.0,227.0,115.0,2.0,2416.0,4.0,2.0,172.0,0.0
Rob Holding,Arsenal,Defender,England,25.0,0.0,0.0,10.0,50.0,3.0,54.0,170.0,176.0,96.0,0.0,2200.0,0.0,1.0,116.0,0.0
Shkodran Mustafi,Arsenal,Defender,Germany,28.0,7.0,0.0,26.0,197.0,14.0,195.0,531.0,670.0,413.0,4.0,5907.0,5.0,13.0,273.0,0.0
Calum Chambers,Arsenal,Defender,England,25.0,6.0,0.0,28.0,257.0,22.0,247.0,537.0,703.0,301.0,3.0,5935.0,9.0,4.0,304.0,0.0
David Luiz,Arsenal,Defender,Brazil,33.0,13.0,0.0,64.0,240.0,59.0,344.0,832.0,846.0,344.0,7.0,10165.0,22.0,79.0,980.0,0.0
Sead Kolasinac,Arsenal,Defender,Bosnia And Herzegovina,27.0,2.0,0.0,17.0,112.0,11.0,72.0,111.0,284.0,97.0,11.0,3201.0,18.0,3.0,67.0,0.0
Gabriel Magalhães,Arsenal,Defender,Brazil,22.0,1.0,0.0,1.0,2.0,0.0,2.0,8.0,8.0,4.0,0.0,197.0,0.0,0.0,6.0,0.0
Mesut Özil,Arsenal,Midfielder,Germany,31.0,33.0,92.0,0.0,161.0,58.0,75.0,37.0,625.0,28.0,54.0,11186.0,65.0,121.0,276.0,0.0
Lucas Torreira,Arsenal,Midfielder,Uruguay,24.0,3.0,12.0,0.0,96.0,10.0,75.0,53.0,276.0,32.0,3.0,2493.0,3.0,4.0,94.0,0.0
Ainsley Maitland-Niles,Arsenal,Midfielder,England,23.0,1.0,4.0,0.0,101.0,3.0,62.0,66.0,218.0,29.0,3.0,1867.0,4.0,2.0,74.0,0.0
Mohamed Elneny,Arsenal,Midfielder,Egypt,28.0,0.0,5.0,0.0,57.0,22.0,41.0,41.0,109.0,18.0,3.0,2532.0,2.0,4.0,83.0,0.0
Joseph Willock,Arsenal,Midfielder,England,21.0,1.0,5.0,0.0,30.0,4.0,6.0,10.0,75.0,9.0,1.0,398.0,1.0,3.0,15.0,0.0
Matteo Guendouzi,Arsenal,Midfielder,France,21.0,0.0,9.0,0.0,75.0,11.0,59.0,58.0,263.0,31.0,1.0,2750.0,4.0,16.0,148.0,0.0
Emile Smith Rowe,Arsenal,Midfielder,England,20.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0
Granit Xhaka,Arsenal,Midfielder,Switzerland,27.0,8.0,41.0,0.0,254.0,40.0,133.0,208.0,650.0,181.0,13.0,9739.0,12.0,35.0,673.0,0.0
Bukayo Saka,Arsenal,Midfielder,England,19.0,1.0,4.0,0.0,36.0,5.0,12.0,12.0,0.0,0.0,5.0,716.0,6.0,0.0,0.0,0.0
Dani Ceballos,Arsenal,Midfielder,Spain,24.0,0.0,3.0,0.0,49.0,6.0,37.0,14.0,127.0,12.0,3.0,1372.0,2.0,7.0,81.0,0.0
Alexandre Lacazette,Arsenal,Forward,France,29.0,39.0,93.0,0.0,92.0,44.0,30.0,49.0,0.0,0.0,16.0,2045.0,15.0,0.0,0.0,0.0
Pierre-Emerick Aubameyang,Arsenal,Forward,Gabon,31.0,55.0,105.0,0.0,58.0,52.0,25.0,38.0,0.0,0.0,13.0,1880.0,17.0,0.0,0.0,0.0
Nicolas Pépé,Arsenal,Forward,Cote D'Ivoire,25.0,5.0,18.0,0.0,32.0,14.0,8.0,4.0,0.0,0.0,6.0,723.0,8.0,0.0,0.0,0.0
Reiss Nelson,Arsenal,Forward,England,20.0,1.0,4.0,0.0,15.0,5.0,6.0,2.0,0.0,0.0,0.0,286.0,0.0,0.0,0.0,0.0
Eddie Nketiah,Arsenal,Forward,England,21.0,4.0,8.0,0.0,9.0,4.0,2.0,6.0,0.0,0.0,0.0,172.0,1.0,0.0,0.0,0.0
Gabriel Martinelli,Arsenal,Forward,Brazil,19.0,3.0,5.0,0.0,20.0,2.0,3.0,5.0,46.0,8.0,0.0,116.0,0.0,1.0,2.0,0.0
Willian,Arsenal,Forward,Brazil,32.0,37.0,145.0,0.0,246.0,111.0,100.0,54.0,0.0,0.0,35.0,8290.0,51.0,0.0,0.0,0.0
Tom Heaton,Aston-Villa,Goalkeeper,England,34.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3290.0,0.0,0.0,1067.0,408.0
Jed Steer,Aston-Villa,Goalkeeper,England,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,6.0,2.0
Ørjan Nyland,Aston-Villa,Goalkeeper,Norway,30.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,0.0,0.0,35.0,15.0
Lovre Kalinic,Aston-Villa,Goalkeeper,Croatia,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emiliano Martínez,Aston-Villa,Goalkeeper,Argentina,28.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,397.0,0.0,0.0,62.0,44.0
Neil Taylor,Aston-Villa,Defender,Wales,31.0,0.0,0.0,38.0,266.0,14.0,241.0,350.0,493.0,94.0,5.0,5491.0,6.0,5.0,214.0,0.0
Ezri Konsa Ngoyo,Aston-Villa,Defender,England,22.0,2.0,0.0,5.0,19.0,3.0,27.0,70.0,116.0,56.0,2.0,810.0,2.0,0.0,36.0,0.0
Matt Targett,Aston-Villa,Defender,England,25.0,2.0,0.0,12.0,122.0,8.0,124.0,156.0,274.0,84.0,6.0,2240.0,13.0,8.0,140.0,0.0
Björn Engels,Aston-Villa,Defender,Belgium,26.0,1.0,0.0,2.0,11.0,0.0,28.0,85.0,71.0,55.0,0.0,647.0,0.0,0.0,49.0,0.0
Frédéric Guilbert,Aston-Villa,Defender,France,25.0,0.0,0.0,2.0,74.0,2.0,49.0,62.0,164.0,48.0,2.0,749.0,1.0,0.0,40.0,0.0
Ahmed El Mohamady,Aston-Villa,Defender,Egypt,33.0,6.0,0.0,28.0,267.0,19.0,246.0,342.0,960.0,444.0,13.0,6628.0,19.0,7.0,304.0,0.0
Kortney Hause,Aston-Villa,Defender,England,25.0,1.0,3.0,0.0,21.0,2.0,20.0,94.0,138.0,100.0,0.0,799.0,1.0,1.0,62.0,0.0
Tyrone Mings,Aston-Villa,Defender,England,27.0,2.0,0.0,7.0,30.0,1.0,49.0,253.0,162.0,96.0,3.0,1961.0,2.0,0.0,155.0,0.0
Matthew Cash,Aston-Villa,Defender,England,23.0,0.0,0.0,1.0,1.0,2.0,2.0,4.0,1.0,0.0,0.0,56.0,0.0,0.0,3.0,0.0
Douglas Luiz,Aston-Villa,Midfielder,Brazil,22.0,3.0,13.0,0.0,46.0,17.0,36.0,47.0,150.0,31.0,2.0,1300.0,3.0,4.0,100.0,0.0
John McGinn,Aston-Villa,Midfielder,Scotland,25.0,3.0,20.0,0.0,53.0,12.0,26.0,15.0,193.0,19.0,3.0,759.0,3.0,3.0,85.0,0.0
Henri Lansbury,Aston-Villa,Midfielder,England,29.0,0.0,0.0,0.0,7.0,1.0,1.0,2.0,10.0,2.0,0.0,115.0,0.0,0.0,11.0,0.0
Jack Grealish,Aston-Villa,Midfielder,England,25.0,9.0,32.0,0.0,45.0,33.0,44.0,17.0,419.0,29.0,7.0,2098.0,12.0,2.0,103.0,0.0
Marvelous Nakamba,Aston-Villa,Midfielder,Zimbabwe,26.0,0.0,1.0,0.0,55.0,0.0,39.0,32.0,115.0,23.0,0.0,782.0,0.0,0.0,24.0,0.0
